bitcoin
Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 06, 2022","$20,194.62","$20,595.53","$19,823.51","$20,548.25","$24,598,943,708","$392,200,896,305"
"Jul 05, 2022","$20,225.35","$20,635.47","$19,341.23","$20,190.11","$26,715,546,990","$385,349,780,370"
"Jul 04, 2022","$19,297.31","$20,258.75","$19,063.07","$20,231.26","$21,594,638,208","$386,119,553,712"
"Jul 03, 2022","$19,242.09","$19,558.27","$18,966.95","$19,297.08","$16,390,821,947","$368,272,636,368"
"Jul 02, 2022","$19,274.84","$19,371.75","$19,027.08","$19,242.26","$18,100,418,740","$367,208,487,557"
"Jul 01, 2022","$19,820.47","$20,632.67","$19,073.71","$19,269.37","$30,767,551,159","$367,709,366,219"
"Jun 30, 2022","$20,108.31","$20,141.16","$18,729.66","$19,784.73","$26,267,239,923","$377,526,215,552"
"Jun 29, 2022","$20,281.17","$20,364.16","$19,937.79","$20,104.02","$23,552,740,328","$383,598,071,095"
"Jun 28, 2022","$20,731.54","$21,164.42","$20,228.81","$20,280.64","$21,381,535,161","$386,949,194,398"
"Jun 27, 2022","$21,028.24","$21,478.09","$20,620.20","$20,735.48","$20,965,695,707","$395,606,854,741"
"Jun 26, 2022","$21,496.49","$21,783.72","$21,016.27","$21,027.30","$18,027,170,497","$401,157,940,864"
"Jun 25, 2022","$21,233.61","$21,520.91","$20,964.59","$21,502.34","$18,372,538,715","$410,202,265,385"
"Jun 24, 2022","$21,084.65","$21,472.92","$20,777.51","$21,231.66","$24,957,784,918","$405,018,505,024"
"Jun 23, 2022","$19,986.61","$21,135.76","$19,950.12","$21,085.88","$26,188,097,173","$402,219,959,761"
"Jun 22, 2022","$20,719.41","$20,835.75","$19,848.08","$19,987.03","$28,574,793,478","$381,240,087,224"
"Jun 21, 2022","$20,594.29","$21,620.63","$20,415.06","$20,710.60","$28,970,212,744","$395,025,644,880"
"Jun 20, 2022","$20,553.37","$20,913.32","$19,689.17","$20,599.54","$30,818,458,597","$392,888,024,959"
"Jun 19, 2022","$19,010.90","$20,683.82","$18,067.15","$20,553.27","$35,329,942,625","$391,988,917,194"
"Jun 18, 2022","$20,473.42","$20,736.04","$17,708.62","$19,017.64","$42,009,436,760","$362,685,324,229"
"Jun 17, 2022","$20,385.72","$21,243.31","$20,326.52","$20,471.48","$27,132,421,514","$390,391,528,176"
